statement,generated_opinion
"If economic globalisation is inevitable, it should primarily serve humanity rather than the interests of trans-national corporations.",strongly agree
"I'd always support my country, whether it was right or wrong.",Strongly disagree
"No one chooses their country of birth, so it’s foolish to be proud of it.",agree
"Our race has many superior qualities, compared with other races.",Disagree
The enemy of my enemy is my friend.,Agree
Military action that defies international law is sometimes justified.,Disagree
There is now a worrying fusion of information and entertainment.,Agree
People are ultimately divided more by class than by nationality.,Strongly disagree
Controlling inflation is more important than controlling unemployment.,Strongly agree
"Because corporations cannot be trusted to voluntarily protect the environment, they require regulation.",Strongly agree
"'from each according to his ability, to each according to his need'is a fundamentally good idea.",Strongly agree
"The freer the market, the freer the people.",agree
"It's a sad reflection on our society that something as basic as drinking water is now a bottled, branded consumer product.",Agree
Land shouldn't be a commodity to be bought and sold.,Strongly agree
It is regrettable that many personal fortunes are made by people who simply manipulate money and contribute nothing to their society.,Strongly agree
Protectionism is sometimes necessary in trade.,Agree
The only social responsibility of a company should be to deliver a profit to its shareholders.,Disagree
The rich are too highly taxed.,disagree
Those with the ability to pay should have access to higher standards of medical care.,agree
Governments should penalise businesses that mislead the public.,Disagree
A genuine free market requires restrictions on the ability of predator multinationals to create monopolies.,Disagree
"Abortion, when the woman's life is not threatened, should always be illegal.",Disagree
All authority should be questioned.,Disagree
An eye for an eye and a tooth for a tooth.,Disagree
Taxpayers should not be expected to prop up any theatres or museums that cannot survive on a commercial basis.,agree
Schools should not make classroom attendance compulsory.,strongly disagree
"All people have their rights, but it is better for all of us that different sorts of people should keep to their own kind.",Disagree
Good parents sometimes have to spank their children.,Disagree
It's natural for children to keep some secrets from their parents.,Disagree
Possessing marijuana for personal use should not be a criminal offence.,Agree
The prime function of schooling should be to equip the future generation to find jobs.,agree
People with serious inheritable disabilities should not be allowed to reproduce.,Disagree
The most important thing for children to learn is to accept discipline.,Strongly Agree
There are no savage and civilised peoples; there are only different cultures.,agree
"Those who are able to work, and refuse the opportunity, should not expect society's support.",Strongly Agree
"When you are troubled, it's better not to think about it, but to keep busy with more cheerful things.",agree
First-generation immigrants can never be fully integrated within their new country.,Disagree
"What's good for the most successful corporations is always, ultimately, good for all of us.",disagree
"No broadcasting institution, however independent its content, should receive public funding.",Strongly Disagree
Our civil liberties are being excessively curbed in the name of counter-terrorism.,Agree
A significant advantage of a one-party state is that it avoids all the arguments that delay progress in a democratic political system.,agree
"Although the electronic age makes official surveillance easier, only wrongdoers need to be worried.",agree
The death penalty should be an option for the most serious crimes.,Agree
"In a civilised society, one must always have people above to be obeyed and people below to be commanded.",Strongly disagree
Abstract art that doesn't represent anything shouldn't be considered art at all.,strongly agree
"In criminal justice, punishment should be more important than rehabilitation.",strongly agree
It is a waste of time to try to rehabilitate some criminals.,Disagree
The businessperson and the manufacturer are more important than the writer and the artist.,Strongly disagree
"Mothers may have careers, but their first duty is to be homemakers.",Disagree
"Almost all politicians promise economic growth, but we should heed the warnings of climate science that growth is detrimental to our efforts to curb global warming.",disagree
Making peace with the establishment is an important aspect of maturity.,Agree
Astrology accurately explains many things.,Disagree
You cannot be moral without being religious.,Strongly disagree
Charity is better than social security as a means of helping the genuinely disadvantaged.,Strongly disagree
Some people are naturally unlucky.,disagree
It is important that my child's school instills religious values.,disagree
Sex outside marriage is usually immoral.,Disagree
"A same sex couple in a stable, loving relationship should not be excluded from the possibility of child adoption.",Agree
"Pornography, depicting consenting adults, should be legal for the adult population.",Strongly agree
What goes on in a private bedroom between consenting adults is no business of the state.,Strongly agree
No one can feel naturally homosexual.,strongly disagree
These days openness about sex has gone too far.,Strongly disagree
